"","Protein","Gene","Description","Fold_Change","p_Value"
"120","ABHD6_MOUSE|Q8R2Y0","Abhd6","Monoacylglycerol lipase ABHD6",-1.66,0.017
"121","ABHEB_MOUSE|Q8VCR7","Abhd14b","Alpha/beta hydrolase domain-containing protein 14B",-1.69,0.00502
"122","ABHGA_MOUSE|Q9Z1Q2","Abhd16a","Abhydrolase domain-containing protein 16A",-1.78,0.00172
"123","ABI1_MOUSE|Q8CBW3","Abi1","Abl interactor 1",-21.5,0.000588
"124","ABI2_MOUSE|P62484","Abi2","Abl interactor 2",-11.2,0.000493
"125","ABL1_MOUSE|P00520","Abl1","Tyrosine-protein kinase ABL1",-2.91,0.000752
"126","ABL2_MOUSE|Q4JIM5","Abl2","Abelson tyrosine-protein kinase 2",-4.15,0.000708
"127","ABLM1_MOUSE|Q8K4G5","Ablim1","Actin-binding LIM protein 1",-9.34,0.000997
"128","ABLM2_MOUSE|Q8BL65","Ablim2","Actin-binding LIM protein 2",-22,0.000699
"129","ABLM3_MOUSE|Q69ZX8","Ablim3","Actin-binding LIM protein 3",-14.1,0.000764
"130","ABR_MOUSE|Q5SSL4","Abr","Active breakpoint cluster region-related protein",-1.8,0.0033
"131","ABRX2_MOUSE|Q3TCJ1",NA,NA,-2.34,0.00142
"132","ACACA_MOUSE|Q5SWU9","Acaca","Acetyl-CoA carboxylase 1",-1.04,0.834
"133","ACACB_MOUSE|E9Q4Z2","Acacb","Acetyl-CoA carboxylase 2",-1.14,0.31
"134","ACAD8_MOUSE|Q9D7B6","Acad8","Isobutyryl-CoA dehydrogenase, mitochondrial",-1.53,0.0112
"135","ACAD9_MOUSE|Q8JZN5","Acad9","Acyl-CoA dehydrogenase family member 9, mitochondrial",-1.44,0.0266
"136","ACADL_MOUSE|P51174","Acadl","Long-chain specific acyl-CoA dehydrogenase, mitochondrial",-1.34,0.0992
"137","ACADM_MOUSE|P45952","Acadm","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",-1.41,0.0563
"138","ACADS_MOUSE|Q07417","Acads","Short-chain specific acyl-CoA dehydrogenase, mitochondrial",-1.45,0.0168
"139","ACADV_MOUSE|P50544","Acadvl","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",-1.4,0.00612
"140","ACAP2_MOUSE|Q6ZQK5","Acap2","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",-2.18,0.00223
"141","ACBD5_MOUSE|Q5XG73","Acbd5","Acyl-CoA-binding domain-containing protein 5",-10.3,0.00144
"142","ACBD6_MOUSE|Q9D061","Acbd6","Acyl-CoA-binding domain-containing protein 6",-2.43,0.00442
"143","ACBG1_MOUSE|Q99PU5","Acsbg1","Long-chain-fatty-acid--CoA ligase ACSBG1",-1.81,0.00243
"144","ACBP_MOUSE|P31786","Dbi","Acyl-CoA-binding protein",-1.51,0.136
"145","ACDSB_MOUSE|Q9DBL1","Acadsb","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-1.71,0.00869
"146","ACES_MOUSE|P21836","Ache","Acetylcholinesterase",-1.9,0.000819
"147","ACINU_MOUSE|Q9JIX8","Acin1","Apoptotic chromatin condensation inducer in the nucleus",-5.09,0.00141
"148","ACL6A_MOUSE|Q9Z2N8","Actl6a","Actin-like protein 6A",-1.27,0.00225
"149","ACLY_MOUSE|Q91V92","Acly","ATP-citrate synthase",-1.41,0.0235
"150","ACM1_MOUSE|P12657","Chrm1","Muscarinic acetylcholine receptor M1",-2.02,0.00483
"151","ACM4_MOUSE|P32211","Chrm4","Muscarinic acetylcholine receptor M4",-2.42,0.00143
"152","ACO10_MOUSE|Q32MW3","Acot10","Acyl-coenzyme A thioesterase 10, mitochondrial",-1.51,0.00707
"153","ACO11_MOUSE|Q8VHQ9","Acot11","Acyl-coenzyme A thioesterase 11",-1.56,0.00585
"154","ACO13_MOUSE|Q9CQR4","Acot13","Acyl-coenzyme A thioesterase 13",-1.36,0.0268
"155","ACOC_MOUSE|P28271","Aco1","Cytoplasmic aconitate hydratase",-1.59,0.00409
"156","ACON_MOUSE|Q99KI0","Aco2","Aconitate hydratase, mitochondrial",-1.71,0.00154
"157","ACOT1_MOUSE|O55137","Acot1","Acyl-coenzyme A thioesterase 1",-1.61,0.0121
"158","ACOT2_MOUSE|Q9QYR9","Acot2","Acyl-coenzyme A thioesterase 2, mitochondrial",-1.61,0.0183
"159","ACOT9_MOUSE|Q9R0X4","Acot9","Acyl-coenzyme A thioesterase 9, mitochondrial",-1.6,0.00726
"160","ACOX3_MOUSE|Q9EPL9","Acox3","Peroxisomal acyl-coenzyme A oxidase 3",-1.58,0.0174
"161","ACPM_MOUSE|Q9CR21","Ndufab1","Acyl carrier protein, mitochondrial",-1.02,0.758
"162","ACS2L_MOUSE|Q99NB1","Acss1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",-1.5,0.00715
"163","ACSA_MOUSE|Q9QXG4","Acss2","Acetyl-coenzyme A synthetase, cytoplasmic",-1.97,0.00183
"164","ACSF2_MOUSE|Q8VCW8","Acsf2","Acyl-CoA synthetase family member 2, mitochondrial",-1.84,0.00516
"165","ACSF3_MOUSE|Q3URE1","Acsf3","Acyl-CoA synthetase family member 3, mitochondrial",-1.82,0.0014
"166","ACSL1_MOUSE|P41216","Acsl1","Long-chain-fatty-acid--CoA ligase 1",-1.58,0.0112
"167","ACSL3_MOUSE|Q9CZW4","Acsl3","Long-chain-fatty-acid--CoA ligase 3",-1.75,0.00189
"168","ACSL4_MOUSE|Q9QUJ7","Acsl4","Long-chain-fatty-acid--CoA ligase 4",-1.41,0.00356
"169","ACSL6_MOUSE|Q91WC3","Acsl6","Long-chain-fatty-acid--CoA ligase 6",-1.62,0.00272
"170","ACTA_MOUSE|P62737","Acta2","Actin, aortic smooth muscle",-1.45,0.0356
"171","ACTB_MOUSE|P60710","Actb","Actin, cytoplasmic 1",-1.46,0.00384
"172","ACTBL_MOUSE|Q8BFZ3","Actbl2","Beta-actin-like protein 2",-1.02,0.855
"173","ACTN1_MOUSE|Q7TPR4","Actn1","Alpha-actinin-1",-1.22,0.106
"174","ACTN2_MOUSE|Q9JI91","Actn2","Alpha-actinin-2",-1.78,0.00298
"175","ACTN4_MOUSE|P57780","Actn4","Alpha-actinin-4",-1.13,0.109
"176","ACTY_MOUSE|Q8R5C5","Actr1b","Beta-centractin",-1.58,0.0092
"177","ACTZ_MOUSE|P61164","Actr1a","Alpha-centractin",-1.58,0.0127
"178","ACY2_MOUSE|Q8R3P0","Aspa","Aspartoacylase",-1.38,0.0139
"179","ACYP1_MOUSE|P56376","Acyp1","Acylphosphatase-1",-3.01,0.00238
"180","ACYP2_MOUSE|P56375","Acyp2","Acylphosphatase-2",-1.38,0.0087
"181","ADA10_MOUSE|O35598","Adam10","Disintegrin and metalloproteinase domain-containing protein 10",-1.35,0.0421
"182","ADA11_MOUSE|Q9R1V4","Adam11","Disintegrin and metalloproteinase domain-containing protein 11",-1.55,0.00644
"183","ADA22_MOUSE|Q9R1V6","Adam22","Disintegrin and metalloproteinase domain-containing protein 22",-1.91,0.00242
"184","ADA23_MOUSE|Q9R1V7","Adam23","Disintegrin and metalloproteinase domain-containing protein 23",-1.72,0.000391
"185","ADAS_MOUSE|Q8C0I1","Agps","Alkyldihydroxyacetonephosphate synthase, peroxisomal",-1.44,0.000886
"186","ADCK1_MOUSE|Q9D0L4","Adck1","Uncharacterized aarF domain-containing protein kinase 1",-1.59,6.17e-05
"187","ADCY1_MOUSE|O88444","Adcy1","Adenylate cyclase type 1",-1.89,0.000356
"188","ADCY5_MOUSE|P84309","Adcy5","Adenylate cyclase type 5",-1.97,0.00125
"189","ADCY6_MOUSE|Q01341","Adcy6","Adenylate cyclase type 6",-1.69,0.00582
"190","ADCY8_MOUSE|P97490","Adcy8","Adenylate cyclase type 8",-2.15,0.000327
"191","ADCY9_MOUSE|P51830","Adcy9","Adenylate cyclase type 9",-2.69,0.000292
"192","ADDA_MOUSE|Q9QYC0","Add1","Alpha-adducin",-4.35,0.00118
"193","ADDA_MOUSE|Q9QYC0-2","Add1","Alpha-adducin (isoform 2)",-5.76,0.00125
"194","ADDB_MOUSE|Q9QYB8","Add2","Beta-adducin",-2.58,0.000919
"195","ADDG_MOUSE|Q9QYB5","Add3","Gamma-adducin",-2.3,0.00231
"196","ADHX_MOUSE|P28474","Adh5","Alcohol dehydrogenase class-3",-1.38,0.0148
"197","ADK_MOUSE|P55264","Adk","Adenosine kinase",-1.57,0.0356
"198","ADNP_MOUSE|Q9Z103","Adnp","Activity-dependent neuroprotector homeobox protein",-4.83,0.00141
"199","ADPGK_MOUSE|Q8VDL4","Adpgk","ADP-dependent glucokinase",-1.71,0.00101
"200","ADPRH_MOUSE|P54923","Adprh","[Protein ADP-ribosylarginine] hydrolase",-1.77,0.0915
"201","ADRM1_MOUSE|Q9JKV1","Adrm1","Proteasomal ubiquitin receptor ADRM1",-1.41,0.0204
"202","ADRO_MOUSE|Q61578","Fdxr","NADPH:adrenodoxin oxidoreductase, mitochondrial",-1.69,0.00267
"203","ADT1_MOUSE|P48962","Slc25a4","ADP/ATP translocase 1",-1.38,0.0288
"204","ADT2_MOUSE|P51881","Slc25a5","ADP/ATP translocase 2",-1.44,0.0194
"205","AEDO_MOUSE|Q6PDY2","Ado","2-aminoethanethiol dioxygenase",-1.7,0.00261
"206","AFAD_MOUSE|Q9QZQ1","Mllt4","Afadin",-19.6,0.00163
"207","AFAM_MOUSE|O89020","Afm","Afamin",1.11,0.16
"208","AFAP1_MOUSE|Q80YS6","Afap1","Actin filament-associated protein 1",-2.47,0.00066
"209","AFG1L_MOUSE|Q3V384",NA,NA,-1.97,0.0018
"210","AFG32_MOUSE|Q8JZQ2","Afg3l2","AFG3-like protein 2",-1.58,0.00139
"211","AFTIN_MOUSE|Q80WT5","Aftph","Aftiphilin",-16.3,0.00087
"212","AGAP1_MOUSE|Q8BXK8","Agap1","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",-2.12,0.00161
"213","AGAP2_MOUSE|Q3UHD9","Agap2","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",-2.21,0.000563
"214","AGAP3_MOUSE|Q8VHH5","Agap3","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",-1.92,0.00217
"215","AGFG1_MOUSE|Q8K2K6","Agfg1","Arf-GAP domain and FG repeat-containing protein 1",-11.6,0.0044
"216","AGFG2_MOUSE|Q80WC7","Agfg2","Arf-GAP domain and FG repeat-containing protein 2",-5.86,0.00063
"217","AGK_MOUSE|Q9ESW4","Agk","Acylglycerol kinase, mitochondrial",-1.46,0.00355
"218","AGM1_MOUSE|Q9CYR6","Pgm3","Phosphoacetylglucosamine mutase",-1.63,0.00165
"219","AGO1_MOUSE|Q8CJG1","Ago1","Protein argonaute-1",-1.63,0.00103
"220","AGO2_MOUSE|Q8CJG0","Ago2","Protein argonaute-2",-1.88,0.00167
"221","AGO3_MOUSE|Q8CJF9","Ago3","Protein argonaute-3",-1.6,0.00214
"222","AGRA1_MOUSE|Q8C4G9",NA,NA,-4.52,0.00206
"223","AGRB2_MOUSE|Q8CGM1",NA,NA,-3.63,0.000787
"224","AGRB3_MOUSE|Q80ZF8",NA,NA,-9.77,0.00222
"225","AGRIN_MOUSE|A2ASQ1","Agrn","Agrin",1.19,0.276
"226","AGRL1_MOUSE|Q80TR1",NA,NA,-2.86,0.000837
"227","AGRL3_MOUSE|Q80TS3",NA,NA,-6.19,0.00195
"228","AHDC1_MOUSE|Q6PAL7","Ahdc1","AT-hook DNA-binding motif-containing protein 1",-2.51,0.000932
"229","AHI1_MOUSE|Q8K3E5","Ahi1","Jouberin",-4.75,0.00139
"230","AHSA1_MOUSE|Q8BK64","Ahsa1","Activator of 90 kDa heat shock protein ATPase homolog 1",-2.1,0.0079
"231","AHSA2_MOUSE|Q8N9S3","Ahsa2","Activator of 90 kDa heat shock protein ATPase homolog 2",-1.75,0.0209
"232","AIDA_MOUSE|Q8C4Q6","Aida","Axin interactor, dorsalization-associated protein",-1.78,0.00406
"233","AIFM1_MOUSE|Q9Z0X1","Aifm1","Apoptosis-inducing factor 1, mitochondrial",-1.52,0.00738
"234","AIFM3_MOUSE|Q3TY86","Aifm3","Apoptosis-inducing factor 3",-1.7,0.00182
"235","AIMP1_MOUSE|P31230","Aimp1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",-1.34,0.00313
"236","AIMP2_MOUSE|Q8R010","Aimp2","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2",-1.48,0.0369
"237","AINX_MOUSE|P46660","Ina","Alpha-internexin",-8.53,0.00182
"238","AIP_MOUSE|O08915","Aip","AH receptor-interacting protein",-1.56,0.000276
"239","AK1A1_MOUSE|Q9JII6","Akr1a1","Alcohol dehydrogenase [NADP(+)]",-1.75,0.00227
"240","AKA10_MOUSE|O88845","Akap10","A-kinase anchor protein 10, mitochondrial",-2.59,0.00116
"241","AKA12_MOUSE|Q9WTQ5","Akap12","A-kinase anchor protein 12",-18.3,0.00157
"242","AKA7A_MOUSE|O55074","Akap7","A-kinase anchor protein 7 isoform alpha",-2.38,0.00277
"243","AKAP1_MOUSE|O08715","Akap1","A-kinase anchor protein 1, mitochondrial",-9.33,0.00263
"244","AKAP2_MOUSE|O54931","Akap2","A-kinase anchor protein 2",-13,0.00238
"245","AKAP5_MOUSE|D3YVF0","Akap5","A-kinase anchor protein 5",-9.8,0.000408
"246","AKAP9_MOUSE|Q70FJ1","Akap9","A-kinase anchor protein 9",-4.92,0.00279
"247","AKCL2_MOUSE|Q9DCT1","Akr1e2","1,5-anhydro-D-fructose reductase",-1.67,0.00102
"248","AKIP_MOUSE|Q9DCJ7","Aurkaip1","Aurora kinase A-interacting protein",1.23,0.0504
"249","AKP13_MOUSE|E9Q394",NA,NA,-2.79,0.00459
"250","AKT1_MOUSE|P31750","Akt1","RAC-alpha serine/threonine-protein kinase",-1.59,0.00934
"251","AKT3_MOUSE|Q9WUA6","Akt3","RAC-gamma serine/threonine-protein kinase",-1.76,0.00298
"252","AKTS1_MOUSE|Q9D1F4","Akt1s1","Proline-rich AKT1 substrate 1",-1.95,0.00207
"253","AL1A1_MOUSE|P24549","Aldh1a1","Retinal dehydrogenase 1",-1.52,0.0111
"254","AL1A3_MOUSE|Q9JHW9","Aldh1a3","Aldehyde dehydrogenase family 1 member A3",-1.52,0.0113
"255","AL1B1_MOUSE|Q9CZS1","Aldh1b1","Aldehyde dehydrogenase X, mitochondrial",-1.6,0.00195
"256","AL1L1_MOUSE|Q8R0Y6","Aldh1l1","Cytosolic 10-formyltetrahydrofolate dehydrogenase",-1.58,0.0117
"257","AL1L2_MOUSE|Q8K009","Aldh1l2","Mitochondrial 10-formyltetrahydrofolate dehydrogenase",-1.01,0.695
"258","AL3A2_MOUSE|P47740","Aldh3a2","Fatty aldehyde dehydrogenase",-1.61,0.0148
"259","AL3B1_MOUSE|Q80VQ0","Aldh3b1","Aldehyde dehydrogenase family 3 member B1",-2.03,0.000527
"260","AL4A1_MOUSE|Q8CHT0","Aldh4a1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",-1.59,0.016
"261","AL7A1_MOUSE|Q9DBF1","Aldh7a1","Alpha-aminoadipic semialdehyde dehydrogenase",-1.73,0.00866
"262","AL9A1_MOUSE|Q9JLJ2","Aldh9a1","4-trimethylaminobutyraldehyde dehydrogenase",-1.57,0.00314
"263","ALAT1_MOUSE|Q8QZR5","Gpt","Alanine aminotransferase 1",-1.73,0.000804
